Unnamed: 0,DATETIMEDATA,PM25,WS,TEMP,RH,WD,stationID
134.0,2023-12-06 14:00:00,7.4,1,33.0,53.0,143.0,44t
135.0,2023-12-06 15:00:00,8.1,1,32.0,55.0,154.0,44t
136.0,2023-12-06 16:00:00,9.8,1,31.0,59.0,145.0,44t
137.0,2023-12-06 17:00:00,12.0,1,30.0,66.0,144.0,44t
138.0,2023-12-06 18:00:00,14.2,1,29.0,73.0,145.0,44t
139.0,2023-12-06 19:00:00,12.8,1,28.0,75.0,146.0,44t
140.0,2023-12-06 20:00:00,13.5,1,28.0,75.0,128.0,44t
141.0,2023-12-06 21:00:00,14.7,1,28.0,80.0,114.0,44t
142.0,2023-12-06 22:00:00,19.1,1,27.0,82.0,113.0,44t
143.0,2023-12-06 23:00:00,18.7,0,27.0,84.0,108.0,44t
144.0,2023-12-07 00:00:00,13.5,0,27.0,86.0,111.0,44t
145.0,2023-12-07 01:00:00,15.7,1,26.0,89.0,109.0,44t
146.0,2023-12-07 02:00:00,16.9,0,26.0,92.0,109.0,44t
147.0,2023-12-07 03:00:00,14.1,0,26.0,91.0,121.0,44t
148.0,2023-12-07 04:00:00,12.6,1,26.0,86.0,114.0,44t
149.0,2023-12-07 05:00:00,10.2,0,26.0,89.0,106.0,44t
150.0,2023-12-07 06:00:00,9.3,0,26.0,87.0,105.0,44t
151.0,2023-12-07 07:00:00,9.1,0,26.0,87.0,109.0,44t
152.0,2023-12-07 08:00:00,10.3,1,28.0,82.0,106.0,44t
153.0,2023-12-07 09:00:00,15.6,1,29.0,76.0,98.0,44t
154.0,2023-12-07 10:00:00,13.8,1,27.0,85.0,147.0,44t
155.0,2023-12-07 11:00:00,11.6,1,25.0,99.0,87.0,44t
156.0,2023-12-07 12:00:00,9.7,1,26.0,94.0,111.0,44t
157.0,2023-12-07 13:00:00,9.3,1,28.0,81.0,117.0,44t
158.0,2023-12-07 14:00:00,11.1,1,28.0,82.0,121.0,44t
159.0,2023-12-07 15:00:00,11.4,1,28.0,79.0,123.0,44t
160.0,2023-12-07 16:00:00,9.7,1,28.0,78.0,117.0,44t
161.0,2023-12-07 17:00:00,14.6,1,27.0,82.0,119.0,44t
162.0,2023-12-07 18:00:00,10.0,0,27.0,84.0,112.0,44t
163.0,2023-12-07 19:00:00,8.5,1,26.0,88.0,111.0,44t
164.0,2023-12-07 20:00:00,13.5,0,26.0,90.0,109.0,44t
165.0,2023-12-07 21:00:00,12.6,1,27.0,81.0,115.0,44t
166.0,2023-12-07 22:00:00,8.4,0,26.0,83.0,105.0,44t
167.0,2023-12-07 23:00:00,7.4,1,27.0,80.0,97.0,44t
168.0,2023-12-08 00:00:00,9.9,1,26.0,81.0,93.0,44t
169.0,2023-12-08 01:00:00,14.9,0,26.0,83.0,96.0,44t
170.0,2023-12-08 02:00:00,10.0,0,26.0,89.0,100.0,44t
171.0,2023-12-08 03:00:00,9.1,0,25.0,92.0,93.0,44t
172.0,2023-12-08 04:00:00,13.8,0,25.0,93.0,102.0,44t
173.0,2023-12-08 05:00:00,12.6,0,25.0,95.0,106.0,44t
174.0,2023-12-08 06:00:00,16.3,0,25.0,96.0,106.0,44t
175.0,2023-12-08 07:00:00,18.9,0,26.0,92.0,109.0,44t
176.0,2023-12-08 08:00:00,18.2,1,29.0,73.0,128.0,44t
177.0,2023-12-08 09:00:00,10.1,1,30.0,65.0,109.0,44t
178.0,2023-12-08 10:00:00,8.5,0,31.0,59.0,167.0,44t
179.0,2023-12-08 11:00:00,10.3,0,32.0,56.0,189.0,44t
180.0,2023-12-08 12:00:00,13.4,1,32.0,55.0,186.0,44t
181.0,2023-12-08 13:00:00,11.1,1,32.0,56.0,182.0,44t
182.0,2023-12-08 14:00:00,9.4,1,32.0,56.0,153.0,44t
183.0,2023-12-08 15:00:00,10.5,1,32.0,57.0,158.0,44t
184.0,2023-12-08 16:00:00,12.0,1,31.0,60.0,138.0,44t
185.0,2023-12-08 17:00:00,12.5,1,30.0,66.0,125.0,44t
186.0,2023-12-08 18:00:00,11.8,1,29.0,71.0,128.0,44t
187.0,2023-12-08 19:00:00,13.7,1,29.0,73.0,117.0,44t
188.0,2023-12-08 20:00:00,16.2,1,28.0,74.0,119.0,44t
189.0,2023-12-08 21:00:00,11.0,1,28.0,75.0,107.0,44t
190.0,2023-12-08 22:00:00,11.5,1,28.0,76.0,102.0,44t
191.0,2023-12-08 23:00:00,14.2,1,28.0,78.0,103.0,44t
192.0,2023-12-09 00:00:00,18.5,1,28.0,79.0,105.0,44t
193.0,2023-12-09 01:00:00,13.9,1,28.0,80.0,109.0,44t
194.0,2023-12-09 02:00:00,11.1,1,27.0,80.0,109.0,44t
195.0,2023-12-09 03:00:00,9.9,1,27.0,82.0,108.0,44t
196.0,2023-12-09 04:00:00,10.8,1,27.0,83.0,109.0,44t
197.0,2023-12-09 05:00:00,11.8,1,27.0,82.0,109.0,44t
198.0,2023-12-09 06:00:00,13.0,0,27.0,84.0,103.0,44t
199.0,2023-12-09 07:00:00,15.8,1,28.0,81.0,96.0,44t
200.0,2023-12-09 08:00:00,13.9,1,29.0,72.0,116.0,44t
